,title,company,description,onsite_remote,salary,location,criteria,posted_date,link,Seniority level,Employment type,Job function,Industries,indus_Technology,indus_Information,indus_Internet,indus_Information Services,indus_IT Services,indus_IT Consulting,indus_Hospitals,indus_Health Care,indus_Computer,indus_Network Security,indus_Internet Publishing,indus_Defense,indus_Space Manufacturing,indus_Transportation,indus_Logistics,indus_Supply Chain,indus_Storage,indus_Recreational Facilities,indus_Biotechnology Research,indus_Pharmaceutical Manufacturing,indus_Research Services,indus_Entertainment Providers,indus_Movies,indus_Videos,indus_Sound,indus_Medical Equipment Manufacturing,indus_Insurance,indus_Chemical Manufacturing,indus_Ground Passenger Transportation,indus_Software Development,indus_Staffing,indus_Recruiting,indus_Financial Services,indus_Libraries,indus_Computer Games,indus_Computer Hardware Manufacturing,indus_Business Consulting,indus_Services,indus_Advertising Services,indus_Non-profit Organizations,indus_Nanotechnology Research,indus_Data Infrastructure,indus_Analytics,indus_Manufacturing,indus_Food,indus_Beverage Services,indus_Beverage Manufacturing,indus_Higher Education,indus_Travel Arrangements,indus_Mental Health Care,indus_Strategic Management Services,indus_Hospitality,indus_Real Estate,indus_Oil,indus_Gas,indus_Industrial Machinery Manufacturing,indus_Civic,indus_Social Organizations,indus_Investment Banking,indus_Banking,indus_Investment Management,indus_Online Audio,indus_Video Media,indus_Capital Markets,indus_Retail,indus_Government Administration,indus_Government Relations Services,indus_Mining,indus_Renewable Energy Semiconductor Manufacturing,indus_Newspaper Publishing,indus_Human Resources Services,indus_Accounting,indus_Retail Luxury Goods,indus_Jewelry
577,Data Scientist,Experfy,Nan,remote,nan,"Philadelphia, PA","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Marketing'}, {'Industries': 'Technology, Information and Internet'}]",2023-06-01,https://www.linkedin.com/jobs/view/data-scientist-at-experfy-3646112719?refId=QG1J4zl8U8ABhWauxU3qFw%3D%3D&trackingId=5H9JV9bs1tAgystb0QtKiw%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Full-time,Marketing,"Technology, Information and Internet",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578,Data Scientist,Zilliant,Nan,remote,nan,"Austin, TX","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Software Development'}]",2023-09-28,https://www.linkedin.com/jobs/view/data-scientist-at-zilliant-3738846984?refId=QG1J4zl8U8ABhWauxU3qFw%3D%3D&trackingId=0lKgcgffMQcuD8yTfduBVA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Engineering and Information Technology,Software Development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579,AI/ML Data Scientist,Experfy,Nan,remote,nan,United States,"[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Marketing'}, {'Industries': 'Technology, Information and Internet'}]",2023-09-13,https://www.linkedin.com/jobs/view/ai-ml-data-scientist-at-experfy-3719409171?refId=QG1J4zl8U8ABhWauxU3qFw%3D%3D&trackingId=%2BcoJzkaeUsnbX9PjSpsSHg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Full-time,Marketing,"Technology, Information and Internet",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,Data scientist,Experfy,Nan,remote,nan,"Boston, MA","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-07-08,https://www.linkedin.com/jobs/view/data-scientist-at-experfy-3683302706?refId=QG1J4zl8U8ABhWauxU3qFw%3D%3D&trackingId=e8m8zUXRrOWiAJVkSxkMjg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
581,Junior Data Scientist,Outcoder iO,Nan,remote,nan,"Denver, CO","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Nanotechnology Research'}]",2023-11-21,https://www.linkedin.com/jobs/view/junior-data-scientist-at-outcoder-io-3771147551?refId=QG1J4zl8U8ABhWauxU3qFw%3D%3D&trackingId=HWGu5LcXyzeyth2wOG7Piw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Information Technology,Nanotechnology Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582,Data Scientist,Experfy,Nan,remote,nan,"Chicago, IL","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-07-01,https://www.linkedin.com/jobs/view/data-scientist-at-experfy-3676190134?refId=QG1J4zl8U8ABhWauxU3qFw%3D%3D&trackingId=X77kNLBkHC5qtEOXTsLcww%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583,Data Scientist Consultant (Remote),DataKind,Nan,remote,nan,"New York, NY","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-11-17,https://www.linkedin.com/jobs/view/data-scientist-consultant-remote-at-datakind-3768637651?refId=QG1J4zl8U8ABhWauxU3qFw%3D%3D&trackingId=ckdOp1kIVP3Y6gt3Us2DcA%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584,ML Engineer (Generative AI & LLM Specialist),Aimpoint Digital,Nan,remote,nan,"Atlanta, GA","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering and Information Technology'}, {'Industries': 'Data Infrastructure and Analytics'}]",2023-11-21,https://www.linkedin.com/jobs/view/ml-engineer-generative-ai-llm-specialist-at-aimpoint-digital-3763393807?refId=QG1J4zl8U8ABhWauxU3qFw%3D%3D&trackingId=QG2wXgWw%2Fl4JlMJXokJUAw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Engineering and Information Technology,Data Infrastructure and Analytics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585,Junior Machine Learning Engineer,Fitness Matrix Inc,Nan,remote,nan,"Tampa, FL","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Software Development'}]",2023-11-21,https://www.linkedin.com/jobs/view/junior-machine-learning-engineer-at-fitness-matrix-inc-3771149173?refId=QG1J4zl8U8ABhWauxU3qFw%3D%3D&trackingId=qfNdCWpKZ74Q8bhfadqbNw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,Entry level,Full-time,Information Technology,Software Development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586,Machine Learning Engineer,Neural Magic,Nan,remote,nan,"Somerville, MA","[{'Seniority level': 'Associate'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering'}, {'Industries': 'Technology, Information and Internet'}]",2023-10-05,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-neural-magic-3734619173?refId=QG1J4zl8U8ABhWauxU3qFw%3D%3D&trackingId=1mSvuaEPQUxkdgz5QkoOsA%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,Associate,Full-time,Engineering,"Technology, Information and Internet",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
